Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,0.027,0.022,0.026,0.028,0.039,0.031,0.027,0.028,0.033,0.029,0.032
Millions of Metric tons of CO2,CO2 emissions,0.043,0.044,0.038,0.046,0.041,0.032,0.043,0.08,0.085,0.027,0.046
Millions of Metric tons of CO2,CO2 emissions,0.081,0.053,0.037,0.085,0.055,0.067,0.048,0.043,0.062,0.044,0.034
Millions of Metric tons of CO2,CO2 emissions,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0,0,0.001
Millions of Metric tons of CO2,CO2 emissions,0.005,0.005,0.006,0.006,0.009,0.009,0.007,0.007,0.007,0.007,0.006
Millions of Metric tons of CO2,CO2 emissions,0.713,0.424,0.356,0.527,0.417,0.589,0.423,0.268,0.238,0.276,0.289
Millions of Metric tons of CO2,CO2 emissions,0.006,0.006,0.005,0.007,0.007,0.007,0.008,0.008,0.008,0.007,0.007
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.05,0.055,0.072,0.071,0.064,0.062,0.051,0.05,0.056,0.054,0.064
Millions of Metric tons of CO2,CO2 emissions,0.009,0.002,0.003,0.002,0.003,0.007,0.001,0.004,0.004,0.002,0.001
Millions of Metric tons of CO2,CO2 emissions,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0.037,0.033,0.03,0.032,0.031,0.032,0.034,0.034,0.033,0.035,0.039
Millions of Metric tons of CO2,CO2 emissions,0.04,0.037,0.04,0.045,0.057,0.052,0.054,0.056,0.052,0.045,0.043
Millions of Metric tons of CO2,CO2 emissions,0.006,0.005,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.005
Millions of Metric tons of CO2,CO2 emissions,0.03,0.031,0.029,0.035,0.037,0.037,0.04,0.043,0.044,0.044,0.044
Millions of Metric tons of CO2,CO2 emissions,0.007,0.005,0.007,0.006,0.011,0.007,0.005,0.006,0.006,0.006,0.006
Millions of Metric tons of CO2,CO2 emissions,0.012,0.012,0.01,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.008
Millions of Metric tons of CO2,CO2 emissions,0.021,0.012,0.011,0.011,0.011,0.01,0.011,0.01,0.011,0.007,0.007
Millions of Metric tons of CO2,CO2 emissions,0.067,0.047,0.053,0.061,0.064,0.065,0.066,0.062,0.064,0.071,0.069
Millions of Metric tons of CO2,CO2 emissions,0.014,0.012,0.012,0.013,0.014,0.014,0.016,0.014,0.015,0.012,0.011
Millions of Metric tons of CO2,CO2 emissions,1.08,1.006,0.817,0.766,0.779,0.778,0.719,0.779,0.704,0.705,0.719
Millions of Metric tons of CO2,CO2 emissions,0.151,0.13,0.114,0.117,0.124,0.119,0.123,0.119,0.113,0.119,0.113
Millions of Metric tons of CO2,CO2 emissions,0.049,0.038,0.05,0.053,0.055,0.054,0.054,0.054,0.056,0.047,0.04
Millions of Metric tons of CO2,CO2 emissions,0.04,0.038,0.042,0.038,0.042,0.037,0.035,0.032,0.036,0.036,0.036
Millions of Metric tons of CO2,CO2 emissions,0.256,0.196,0.27,0.255,0.271,0.278,0.247,0.115,0.133,0.132,0.137
Millions of Metric tons of CO2,CO2 emissions,1.857,1.681,1.772,1.733,1.784,1.761,1.638,1.585,1.663,1.583,1.529
Millions of Metric tons of CO2,CO2 emissions,2.875,2.631,2.767,3.056,2.961,3.037,2.909,3.132,3.154,3.216,3.557
Millions of Metric tons of CO2,CO2 emissions,0.063,0.067,0.081,0.084,0.09,0.098,0.087,0.079,0.088,0.086,0.084
Millions of Metric tons of CO2,CO2 emissions,5.48,3.908,5.264,5.03,4.338,3.984,2.477,2.817,2.923,2.791,3.029
Millions of Metric tons of CO2,CO2 emissions,0.919,0.742,0.755,0.771,0.661,0.759,0.751,0.749,0.714,0.634,0.909
Millions of Metric tons of CO2,CO2 emissions,3.258,3.516,3.206,3.689,3.147,3.295,3.046,3.099,3.033,3.07,3.148
Millions of Metric tons of CO2,CO2 emissions,0.075,0.075,0.073,0.065,0.044,0.041,0.041,0.041,0.04,0.034,0.034
Millions of Metric tons of CO2,CO2 emissions,1.574,1.462,1.568,1.48,1.493,1.564,1.483,1.206,1.369,1.502,1.571
Millions of Metric tons of CO2,CO2 emissions,0.117,0.128,0.139,0.118,0.118,0.113,0.106,0.09,0.101,0.095,0.094
Millions of Metric tons of CO2,CO2 emissions,0.021,0.019,0.019,0.019,0.017,0.021,0.02,0.019,0.018,0.016,0.017
Millions of Metric tons of CO2,CO2 emissions,22.732,23.804,29.257,23.144,18.873,20.367,19.212,16.125,17.868,16.106,17.276
Millions of Metric tons of CO2,CO2 emissions,0.047,0.036,0.03,0.031,0.034,0.033,0.032,0.025,0.024,0.021,0.022
Millions of Metric tons of CO2,CO2 emissions,0.099,0.152,0.167,0.165,0.159,0.156,0.151,0.118,0.131,0.119,0.123
Millions of Metric tons of CO2,CO2 emissions,0.124,0.123,0.119,0.115,0.118,0.126,0.117,0.112,0.103,0.099,0.099
Millions of Metric tons of CO2,CO2 emissions,0.313,0.323,0.362,0.368,0.379,0.334,0.327,0.227,0.211,0.223,0.192
Millions of Metric tons of CO2,CO2 emissions,0.173,0.184,0.212,0.201,0.215,0.216,0.207,0.18,0.199,0.192,0.195
Millions of Metric tons of CO2,CO2 emissions,0.037,0.035,0.04,0.035,0.039,0.036,0.036,0.034,0.039,0.043,0.045
Millions of Metric tons of CO2,CO2 emissions,2.608,2.133,2.065,1.978,2.169,1.909,1.996,2.06,2.347,2.259,2.176
Millions of Metric tons of CO2,CO2 emissions,0.074,0.073,0.059,0.065,0.061,0.061,0.061,0.056,0.054,0.045,0.048
Millions of Metric tons of CO2,CO2 emissions,0.139,0.105,0.155,0.086,0.095,0.089,0.103,0.164,0.146,0.129,0.137
Millions of Metric tons of CO2,CO2 emissions,0.848,0.73,0.691,0.661,0.677,0.622,0.643,0.439,0.218,0.187,0.255
Millions of Metric tons of CO2,CO2 emissions,0.266,0.231,0.198,0.23,0.271,0.288,0.212,0.205,0.221,0.169,0.152
Millions of Metric tons of CO2,CO2 emissions,0.003,0.002,0.003,0.005,0.007,0.006,0.008,0.009,0.011,0.01,0.008
Millions of Metric tons of CO2,CO2 emissions,0.028,0.021,0.018,0.023,0.022,0.022,0.017,0.015,0.015,0.016,0.019
Millions of Metric tons of CO2,CO2 emissions,1.13,0.765,0.827,0.844,0.749,0.736,0.708,0.728,0.78,0.804,0.713
Millions of Metric tons of CO2,CO2 emissions,0.079,0.062,0.07,0.064,0.068,0.065,0.061,0.054,0.059,0.056,0.056
Millions of Metric tons of CO2,CO2 emissions,0.038,0.034,0.022,0.022,0.026,0.026,0.018,0.022,0.03,0.026,0.026
Millions of Metric tons of CO2,CO2 emissions,3.03,2.471,2.871,2.649,2.496,2.474,2.447,2.296,2.343,2.386,2.299
Millions of Metric tons of CO2,CO2 emissions,0.129,0.129,0.164,0.157,0.154,0.166,0.178,0.178,0.209,0.17,0.23
Millions of Metric tons of CO2,CO2 emissions,0.056,0.043,0.032,0.025,0.033,0.034,0.033,0.032,0.034,0.033,0.033
Millions of Metric tons of CO2,CO2 emissions,0.079,0.082,0.096,0.087,0.091,0.088,0.083,0.093,0.102,0.102,0.104
Millions of Metric tons of CO2,CO2 emissions,0.26,0.263,0.349,0.315,0.289,0.297,0.257,0.244,0.285,0.266,0.257
Millions of Metric tons of CO2,CO2 emissions,0.03,0.029,0.033,0.027,0.031,0.03,0.033,0.032,0.035,0.032,0.031
Millions of Metric tons of CO2,CO2 emissions,0.576,0.519,0.695,0.669,0.687,0.692,0.549,0.509,0.584,0.544,0.54
Millions of Metric tons of CO2,CO2 emissions,0.167,0.127,0.213,0.128,0.129,0.117,0.154,0.257,0.221,0.188,0.192
Millions of Metric tons of CO2,CO2 emissions,0.045,0.043,0.045,0.037,0.036,0.032,0.031,0.017,0.018,0.018,0.017
Millions of Metric tons of CO2,CO2 emissions,0.056,0.036,0.032,0.032,0.029,0.03,0.034,0.024,0.018,0.015,0.009
Millions of Metric tons of CO2,CO2 emissions,0.498,0.396,0.308,0.263,0.246,0.367,0.303,0.273,0.372,0.342,0.341
Millions of Metric tons of CO2,CO2 emissions,0.072,0.073,0.083,0.068,0.079,0.081,0.088,0.086,0.092,0.089,0.094
Millions of Metric tons of CO2,CO2 emissions,3.396,3.075,3.537,3.703,3.06,3.581,3.673,3.486,3.38,3.438,3.288
Millions of Metric tons of CO2,CO2 emissions,0.439,0.369,0.482,0.368,0.41,0.282,0.26,0.19,0.243,0.234,0.233
Millions of Metric tons of CO2,CO2 emissions,0.163,0.128,0.122,0.113,0.084,0.079,0.081,0.063,0.05,0.04,0.066
Millions of Metric tons of CO2,CO2 emissions,1.226,1.356,1.242,1.033,1.126,1.163,1.033,1.045,1.035,1.097,1.089
Millions of Metric tons of CO2,CO2 emissions,3.604,3.58,3.799,3.688,3.954,3.845,3.573,3.356,3.292,3.474,3.435
Millions of Metric tons of CO2,CO2 emissions,12.771,12.674,12.436,12.567,12.124,12.826,12.848,12.478,11.772,11.293,11.287
Millions of Metric tons of CO2,CO2 emissions,20.971,19.426,20.824,23.974,23.618,23.442,23.049,22.93,22.736,23.272,23.994
Millions of Metric tons of CO2,CO2 emissions,0.995,1.187,1.202,1.083,1.142,1.187,1.15,1.209,1.262,1.226,1.204
Millions of Metric tons of CO2,CO2 emissions,19.784,15.13,17.294,16.159,15.404,16.708,16.207,15.503,14.714,16.44,25.814
Millions of Metric tons of CO2,CO2 emissions,6.989,4.425,4.368,10.492,10.325,10.356,9.611,8.531,8.175,7.417,8.291
Millions of Metric tons of CO2,CO2 emissions,19.014,16.965,14.502,15.119,12.183,10.375,9.889,9.607,8.524,8.935,6.569
Millions of Metric tons of CO2,CO2 emissions,0.454,0.412,0.518,0.502,0.502,0.542,0.48,0.479,0.506,0.501,0.481
Millions of Metric tons of CO2,CO2 emissions,7.134,6.264,6.032,7.096,7.172,6.841,6.576,5.93,5.728,5.951,5.965
Millions of Metric tons of CO2,CO2 emissions,1.526,1.751,1.793,1.472,1.596,1.687,1.526,1.584,1.583,1.597,1.52
Millions of Metric tons of CO2,CO2 emissions,0.366,0.349,0.404,0.432,0.428,0.462,0.39,0.367,0.379,0.349,0.333
Millions of Metric tons of CO2,CO2 emissions,41.638,45.729,48.315,40.578,44.309,42.679,29.686,32.486,36.1,40.591,27.189
Millions of Metric tons of CO2,CO2 emissions,0.888,0.884,1.029,1.09,1.11,1.195,1.034,0.982,1.009,0.963,0.951
Millions of Metric tons of CO2,CO2 emissions,2.455,2.826,2.902,2.222,2.378,2.553,2.362,2.569,2.531,2.55,2.383
Millions of Metric tons of CO2,CO2 emissions,1.062,1.137,1.091,1.14,1.165,1.037,1.061,0.98,0.947,1.091,1.029
Millions of Metric tons of CO2,CO2 emissions,8.412,8.019,8.702,9.379,9.083,8.48,7.925,8.521,8.532,8.341,8.737
Millions of Metric tons of CO2,CO2 emissions,2.341,2.737,2.849,2.33,2.555,2.737,2.454,2.579,2.574,2.598,2.471
Millions of Metric tons of CO2,CO2 emissions,1.441,1.491,1.317,1.182,1.283,1.269,1.186,1.22,1.248,1.385,1.394
Millions of Metric tons of CO2,CO2 emissions,14.836,13.248,16.07,16.863,16.23,16.22,15.855,13.907,13.913,15.099,14.679
Millions of Metric tons of CO2,CO2 emissions,0.787,0.681,0.724,0.826,0.87,0.915,0.799,0.761,0.767,0.713,0.702
Millions of Metric tons of CO2,CO2 emissions,4.388,2.951,3.738,1.302,1.349,1.351,1.307,1.279,1.272,1.229,1.249
Millions of Metric tons of CO2,CO2 emissions,1.327,1.715,1.972,1.355,1.398,1.389,1.378,1.426,1.289,1.264,1.345
Millions of Metric tons of CO2,CO2 emissions,0.616,0.709,0.744,0.959,0.871,0.805,0.76,0.932,0.924,0.893,0.88
Millions of Metric tons of CO2,CO2 emissions,0.005,0.008,0.006,0.006,0.005,0.005,0.016,0.014,0.02,0.021,0.021
Millions of Metric tons of CO2,CO2 emissions,0.833,0.753,0.858,0.782,0.732,0.699,0.594,0.564,0.619,0.64,0.642
Millions of Metric tons of CO2,CO2 emissions,9.955,8.743,8.894,11.247,10.804,10.338,10.091,9.595,10.01,8.993,9.482
Millions of Metric tons of CO2,CO2 emissions,0.596,0.678,0.701,0.568,0.621,0.649,0.594,0.608,0.609,0.612,0.593
Millions of Metric tons of CO2,CO2 emissions,0.448,0.564,0.522,0.435,0.507,0.584,0.486,0.507,0.544,0.555,0.561
Millions of Metric tons of CO2,CO2 emissions,2.672,2.159,2.493,2.412,2.477,2.751,2.559,2.422,2.441,2.282,2.255
Millions of Metric tons of CO2,CO2 emissions,2.061,1.64,1.314,3.271,3.306,3.562,3.221,2.917,2.892,2.498,2.849
Millions of Metric tons of CO2,CO2 emissions,0.255,0.259,0.286,0.276,0.293,0.288,0.267,0.246,0.245,0.243,0.225
Millions of Metric tons of CO2,CO2 emissions,5.378,5.47,5.175,4.91,5.385,5.477,5.085,4.94,4.908,5.133,5.096
Millions of Metric tons of CO2,CO2 emissions,3.304,4.024,3.946,3.27,3.412,3.623,3.385,3.731,3.745,3.633,3.435
Millions of Metric tons of CO2,CO2 emissions,1.305,1.349,1.206,1.112,1.198,1.159,1.078,0.968,0.963,1,0.988
Millions of Metric tons of CO2,CO2 emissions,3.15,3.421,3.543,2.776,3.067,3.222,2.8,2.921,2.889,2.958,2.811
Millions of Metric tons of CO2,CO2 emissions,6.959,3.605,5.223,1.016,0.971,0.961,0.934,0.984,0.997,0.94,1.014
Millions of Metric tons of CO2,CO2 emissions,1.399,1.539,1.434,1.308,1.383,1.183,1.052,0.953,0.935,0.934,0.893
Millions of Metric tons of CO2,CO2 emissions,0.822,0.609,0.54,0.601,0.53,0.542,0.484,0.488,0.498,0.544,0.527
Millions of Metric tons of CO2,CO2 emissions,1.438,1.427,1.538,1.506,1.633,1.748,1.596,1.51,1.47,1.6,1.61
Millions of Metric tons of CO2,CO2 emissions,0.815,0.769,1.11,1.072,1.144,1.048,0.966,0.88,0.828,0.879,0.856
Millions of Metric tons of CO2,CO2 emissions,15.5,15.559,15.801,16.619,16.578,17.768,17.271,15.178,14.217,16.274,16.508
Millions of Metric tons of CO2,CO2 emissions,16.006,16.223,12.204,12.119,13.033,12.987,12.215,11.188,11.059,11.715,11.36
Millions of Metric tons of CO2,CO2 emissions,0.391,0.3,0.314,0.359,0.359,0.322,0.311,0.303,0.292,0.334,0.367
Millions of Metric tons of CO2,CO2 emissions,1.431,1.353,1.35,1.245,1.304,1.463,1.358,1.47,1.497,1.499,1.25
Millions of Metric tons of CO2,CO2 emissions,4.172,4.025,4.343,4.066,4.068,4.528,4.377,4.621,4.948,5.072,4.509
Millions of Metric tons of CO2,CO2 emissions,2.116,2.456,2.69,2.815,2.698,2.77,2.992,3.42,3.378,3.024,9.313
Millions of Metric tons of CO2,CO2 emissions,34.788,33.328,33.412,33.326,33.969,33.919,34.027,34.687,34.669,33.979,33.534
Millions of Metric tons of CO2,CO2 emissions,1.358,1.293,1.248,1.197,1.171,1.296,1.229,1.276,1.258,1.247,1.055
Millions of Metric tons of CO2,CO2 emissions,55.205,41,53.403,53.38,47.196,47.789,46.413,54.158,54.87,55.154,56.512
Millions of Metric tons of CO2,CO2 emissions,16.093,14.502,18.174,17.556,17.996,17.749,17.657,18.823,18.06,20.157,15.662
Millions of Metric tons of CO2,CO2 emissions,24.129,22.284,22.376,20.965,20.454,20.2,19.347,19.688,20.943,20.187,19.298
Millions of Metric tons of CO2,CO2 emissions,1.373,1.211,1.01,0.939,0.927,0.95,0.83,0.933,1.036,1.038,1.036
Millions of Metric tons of CO2,CO2 emissions,4.736,4.728,5.228,5.342,5.348,5.253,5.456,5.508,5.905,6.244,10.718
Millions of Metric tons of CO2,CO2 emissions,2.819,2.697,2.644,2.391,2.543,2.864,2.614,2.673,2.707,2.635,2.124
Millions of Metric tons of CO2,CO2 emissions,1.557,1.567,1.547,1.461,1.432,1.411,1.24,1.221,1.255,1.308,1.226
Millions of Metric tons of CO2,CO2 emissions,317.922,298.952,310.879,306.752,321.67,325.653,306.593,295.992,292.193,274.121,259.002
Millions of Metric tons of CO2,CO2 emissions,1.968,1.812,1.645,1.57,1.542,1.57,1.369,1.353,1.494,1.534,1.486
Millions of Metric tons of CO2,CO2 emissions,4.481,4.499,4.353,3.74,3.93,4.241,3.823,3.931,3.71,3.531,2.724
Millions of Metric tons of CO2,CO2 emissions,0.012,0.013,0.011,0.014,0.009,0.011,0.011,0.017,0.015,0.017,0.085
Millions of Metric tons of CO2,CO2 emissions,9.282,9.069,8.581,8.649,8.706,8.464,8.319,8.181,8.492,8.528,8.611
Millions of Metric tons of CO2,CO2 emissions,4.855,4.804,4.624,4.152,4.335,4.946,4.6,4.937,5.177,5.151,4.212
Millions of Metric tons of CO2,CO2 emissions,2.076,1.9,1.756,1.689,1.766,2.045,1.912,1.936,1.937,2.004,1.773
Millions of Metric tons of CO2,CO2 emissions,13.885,14.467,10.661,9.784,9.838,9.655,9.635,10.672,11.467,11.307,11.414
Millions of Metric tons of CO2,CO2 emissions,3.356,3.091,2.992,2.852,2.93,2.936,2.578,2.551,2.721,2.874,2.782
Millions of Metric tons of CO2,CO2 emissions,2.388,1.89,1.982,1.731,1.682,1.723,1.645,1.662,1.76,1.7,1.607
Millions of Metric tons of CO2,CO2 emissions,4.305,4.068,4.223,4.34,3.811,3.949,4.178,4.242,3.741,4.03,4.44
Millions of Metric tons of CO2,CO2 emissions,1.023,0.792,0.879,0.895,0.773,0.9,0.848,1.002,1.065,1.021,0.682
Millions of Metric tons of CO2,CO2 emissions,0.107,0.077,0.065,0.063,0.057,0.061,0.058,0.042,0.042,0.032,0.027
Millions of Metric tons of CO2,CO2 emissions,2.874,2.299,2.649,2.574,2.481,2.633,2.277,2.578,3.361,3.489,3.258
Millions of Metric tons of CO2,CO2 emissions,19.998,18.229,18.344,18.839,17.919,17.71,17.938,17.708,17.74,18.118,18.603
Millions of Metric tons of CO2,CO2 emissions,1.973,1.95,1.813,1.61,1.618,1.8,1.61,1.706,1.661,1.643,1.361
Millions of Metric tons of CO2,CO2 emissions,0.288,0.273,0.302,0.265,0.269,0.315,0.273,0.29,0.375,0.431,0.384
Millions of Metric tons of CO2,CO2 emissions,7.658,7.468,7.537,6.806,6.615,6.842,6.981,6.962,6.765,6.746,6.465
Millions of Metric tons of CO2,CO2 emissions,5.248,4.939,4.968,4.54,5.012,5.219,5.277,5.737,6.06,4.892,5.524
Millions of Metric tons of CO2,CO2 emissions,1.559,1.885,1.913,1.918,1.782,1.896,1.962,2.671,2.411,2.332,2.166
Millions of Metric tons of CO2,CO2 emissions,6.571,5.804,5.621,5.183,5.4,5.68,5.571,5.978,6.331,6.292,5.164
Millions of Metric tons of CO2,CO2 emissions,5.413,6.437,6.707,6.288,6.427,7.126,6.794,6.579,6.157,6.145,5.305
Millions of Metric tons of CO2,CO2 emissions,1.614,1.592,1.467,1.319,1.294,1.466,1.332,1.23,1.22,1.204,0.994
Millions of Metric tons of CO2,CO2 emissions,6.74,6.414,6.165,5.553,5.563,6.23,5.538,5.785,5.645,5.562,4.379
Millions of Metric tons of CO2,CO2 emissions,2.505,1.838,1.631,1.381,1.344,1.34,1.338,1.372,1.35,1.36,1.44
Millions of Metric tons of CO2,CO2 emissions,1.797,1.759,1.404,1.212,1.106,1.164,1.09,1.118,1.123,1.088,0.862
Millions of Metric tons of CO2,CO2 emissions,1.051,0.881,0.936,0.893,0.85,0.839,0.783,0.752,0.756,0.747,0.72
Millions of Metric tons of CO2,CO2 emissions,7.854,6.459,8.45,8.88,8.501,8.609,9.494,9.417,9.651,9.766,9.059
Millions of Metric tons of CO2,CO2 emissions,1.187,1.631,1.362,1.386,1.42,1.506,1.57,1.892,2.021,2.006,1.902
Millions of Metric tons of CO2,CO2 emissions,29.724,9.811,29.348,28.213,23.244,22.709,22.829,33.074,29.999,18.716,16.938
Millions of Metric tons of CO2,CO2 emissions,15.074,14.032,16.325,14.867,13.191,13.817,14.25,14.961,15.55,16.001,14.776
Millions of Metric tons of CO2,CO2 emissions,0.928,0.779,0.668,0.54,0.526,0.552,0.485,0.472,0.531,0.542,0.534
Millions of Metric tons of CO2,CO2 emissions,0.328,0.302,0.254,0.216,0.192,0.249,0.239,0.251,0.242,0.241,0.252
Millions of Metric tons of CO2,CO2 emissions,0.162,0.165,0.16,0.136,0.124,0.117,0.132,0.123,0.134,0.133,0.149
Millions of Metric tons of CO2,CO2 emissions,3.147,2.757,2.414,1.945,0.586,0.694,0.782,0.742,0.763,0.729,0.731
Millions of Metric tons of CO2,CO2 emissions,1.997,1.788,1.418,1.392,1.251,1.19,1.329,1.532,1.727,1.781,1.927
Millions of Metric tons of CO2,CO2 emissions,0.059,0.055,0.04,0.038,0.042,0.08,0.061,0.066,0.067,0.083,0.085
Millions of Metric tons of CO2,CO2 emissions,1.58,1.011,1.176,1.507,1.412,1.6,1.518,1.426,1.4,1.091,1.076
Millions of Metric tons of CO2,CO2 emissions,0.373,0.3,0.273,0.274,0.13,0.17,0.303,0.573,0.437,0.176,0.14
Millions of Metric tons of CO2,CO2 emissions,3.646,3.146,4.204,3.92,5.495,6.006,5.528,5.187,5.472,5.366,5.851
Millions of Metric tons of CO2,CO2 emissions,0.007,0.005,0.006,0.004,0.006,0.004,0.008,0.01,0.011,0.009,0.011
Millions of Metric tons of CO2,CO2 emissions,1.61,1.244,0.581,0.412,0.296,0.442,0.587,0.516,0.517,0.425,0.391
Millions of Metric tons of CO2,CO2 emissions,0.11,0.135,0.136,0.131,0.103,0.081,0.114,0.081,0.086,0.099,0.102
Millions of Metric tons of CO2,CO2 emissions,0.01,0.008,0.01,0.008,0.012,0.012,0.017,0.023,0.02,0.015,0.016
Millions of Metric tons of CO2,CO2 emissions,47.857,45.097,41.925,42.589,42.399,37.161,33.782,30.209,28.427,30.146,29.058
Millions of Metric tons of CO2,CO2 emissions,0.095,0.128,0.109,0.091,0.072,0.191,0.13,0.151,0.117,0.104,0.114
Millions of Metric tons of CO2,CO2 emissions,0.156,0.12,0.083,0.081,0.056,0.062,0.055,0.063,0.074,0.064,0.057
Millions of Metric tons of CO2,CO2 emissions,0.051,0.073,0.073,0.063,0.146,0.142,0.132,0.096,0.1,0.098,0.096
Millions of Metric tons of CO2,CO2 emissions,0.868,0.828,0.624,0.516,0.62,0.747,0.887,0.905,0.955,0.917,0.884
Millions of Metric tons of CO2,CO2 emissions,0.217,0.252,0.209,0.164,0.142,0.149,0.118,0.133,0.125,0.103,0.103
Millions of Metric tons of CO2,CO2 emissions,0.013,0.012,0.015,0.014,0.013,0.023,0.024,0.026,0.028,0.029,0.029
Millions of Metric tons of CO2,CO2 emissions,1.897,1.922,0.949,0.808,0.884,0.644,0.755,0.736,0.793,0.737,0.684
Millions of Metric tons of CO2,CO2 emissions,0.02,0.025,0.022,0.018,0.019,0.018,0.024,0.026,0.024,0.019,0.022
Millions of Metric tons of CO2,CO2 emissions,0.529,0.437,0.326,0.266,0.388,0.095,0.074,0.11,0.177,0.094,0.113
Millions of Metric tons of CO2,CO2 emissions,0.084,0.077,0.057,0.066,0.055,0.048,0.043,0.045,0.047,0.158,0.205
Millions of Metric tons of CO2,CO2 emissions,0.285,0.259,0.199,0.132,0.233,0.253,0.234,0.275,0.271,0.283,0.313
Millions of Metric tons of CO2,CO2 emissions,0.005,0.005,0.004,0.004,0.006,0.009,0.01,0.012,0.011,0.01,0.011
Millions of Metric tons of CO2,CO2 emissions,0.024,0.016,0.025,0.007,0.009,0.005,0.011,0.008,0.008,0.01,0.011
Millions of Metric tons of CO2,CO2 emissions,3.61,2.744,3.229,2.406,2.382,2.508,2.603,2.634,2.843,2.416,2.227
Millions of Metric tons of CO2,CO2 emissions,0.071,0.081,0.067,0.062,0.049,0.065,0.054,0.066,0.066,0.067,0.07
Millions of Metric tons of CO2,CO2 emissions,0.045,0.049,0.033,0.022,0.008,0.005,0.024,0.03,0.03,0.036,0.041
Millions of Metric tons of CO2,CO2 emissions,0.254,0.217,0.191,0.163,0.305,0.147,0.145,0.12,0.092,0.085,0.099
Millions of Metric tons of CO2,CO2 emissions,0.257,0.259,0.222,0.182,0.065,0.103,0.151,0.314,0.233,0.092,0.081
Millions of Metric tons of CO2,CO2 emissions,0.226,0.281,0.201,0.165,0.141,0.119,0.155,0.143,0.115,0.111,0.111
Millions of Metric tons of CO2,CO2 emissions,0.383,0.489,0.262,0.187,0.16,0.148,0.138,0.151,0.159,0.164,0.151
Millions of Metric tons of CO2,CO2 emissions,0.368,0.457,0.364,0.281,0.233,0.237,0.352,0.343,0.287,0.31,0.253
Millions of Metric tons of CO2,CO2 emissions,0.051,0.043,0.031,0.026,0.017,0.015,0.012,0.014,0.016,0.01,0.011
Millions of Metric tons of CO2,CO2 emissions,0.209,0.181,0.198,0.2,0.159,0.168,0.115,0.135,0.155,0.12,0.114
Millions of Metric tons of CO2,CO2 emissions,0.554,0.393,0.315,0.307,0.569,0.144,0.114,0.198,0.363,0.172,0.206
Millions of Metric tons of CO2,CO2 emissions,0.184,0.141,0.08,0.072,0.059,0.058,0.048,0.052,0.063,0.061,0.057
Millions of Metric tons of CO2,CO2 emissions,0.313,0.167,0.131,0.106,0.067,0.066,0.061,0.057,0.059,0.066,0.078
Millions of Metric tons of CO2,CO2 emissions,0.23,0.392,0.438,0.358,0.319,0.295,0.338,0.404,0.424,0.511,0.499
Millions of Metric tons of CO2,CO2 emissions,0.141,0.11,0.054,0.048,0.049,0.056,0.104,0.087,0.082,0.115,0.11
Millions of Metric tons of CO2,CO2 emissions,20.246,15.117,13.891,13.692,12.607,10.6,11.41,15.521,14.758,20.849,21.943
